org_inv_dk,rearer_dk,rearer_pop_dk,org_category,start_dt,end_dt,class_result_nm,org_test_result_nm
bDoAAHz3F9vM567U,,,种猪场,2023-09-20,2023-10-18,高繁感染,A阳（双缺）
bDoAABpksjDM567U,,,种猪场,2023-06-21,2023-07-20,高繁感染,A阳（双缺）
aJ1tWgETEADgAQy9fwAAAcznrtQ=,,,种猪场,2024-12-19,2024-12-30,高繁感染,ABE型
bDoAABcQtDXM567U,,,种猪场,2022-05-09,2022-06-10,高繁感染,B阳
X6Ka4wEUEADgEK17CgsFAsznrtQ=,,,种猪场,2022-08-22,2022-10-16,高繁感染,D阳+B阳
8rEcmj38R/S5VZO6LDDNY8znrtQ=,,,种猪场,2022-10-17,2022-11-19,高繁感染,B阳
bDoAANlw/arM567U,,,种猪场,2023-01-11,2023-01-21,高繁感染,"B阳,A阳（单缺）"
B2FEtf4CQoSN+wxOFAin2MznrtQ=,,,种猪场,2023-01-06,2023-02-17,高繁感染,B阳
440S1QEZEADgBhF/CgsFAcznrtQ=,,,种猪场,2023-08-19,2023-09-27,高繁感染,B阳
bDoAAEGDj37M567U,,,种猪场,2023-12-06,2024-01-20,高繁感染,"ABE型,B阳"
bDoAACjIOsbM567U,,,种猪场,2023-02-10,2023-03-30,高繁感染,B阳
IqjjHVGER16rTlfZQ91hwsznrtQ=,,,种猪场,2023-06-04,2023-06-17,高繁感染,A阳（单缺）
bDoAAAg6uQPM567U,,,种猪场,2023-10-22,2023-11-21,高繁感染,"ABE型,B阳"
BHoTMQETEADgAUTXfwAAAcznrtQ=,,,种猪场,2024-01-15,2024-02-17,高繁感染,D阳
BHoTMQETEADgAUTXfwAAAcznrtQ=,,,种猪场,2024-02-23,2024-05-06,高繁感染,D阳
28LlF45rQqiZm0ziZ/+s48znrtQ=,,,种猪场,2024-10-21,2024-11-23,高繁感染,ABE型
bDoAABp4TUHM567U,,,种猪场,2022-10-03,2022-10-31,高繁感染,"B阳,D阳"
bDoAADt5M13M567U,,,种猪场,2022-11-14,2022-12-27,高繁感染,B阳
bDoAAE0ZVWfM567U,,,种猪场,2023-02-02,2023-02-27,高繁感染,B阳
AtF/VOCpTy6RBKVEYz0ansznrtQ=,,,种猪场,2023-04-02,2023-06-18,高繁感染,A阳（双缺）
ydq77QEUEADgAYVFCgsFAcznrtQ=,,,种猪场,2023-08-07,2023-08-25,高繁感染,B阳
BiUnsQEXEADgBPwRCgsCAcznrtQ=,,,种猪场,2023-11-13,2023-12-28,高繁感染,A阳（单缺）
bDoAADt5M13M567U,,,种猪场,2022-07-22,2022-08-14,高繁感染,B阳
eIAMPj4ORpeulr9WAr8oUsznrtQ=,,,种猪场,2022-12-03,2023-04-12,高繁感染,A阳（双缺）
bDoAAEQQfgjM567U,,,种猪场,2023-10-25,2023-11-22,高繁感染,"ABE型,B阳"
bDoAAF5Fd63M567U,,,种猪场,2024-05-16,2024-06-04,高繁感染,A阳（双缺）
e03d3f1b-010a-1000-e004-192cc0a802deCCE7AED4,,,种猪场,2024-12-22,2024-12-30,高繁感染,A阳（双缺）
bDoAAIHprf3M567U,,,种猪场,2023-02-06,2023-03-14,高繁感染,B阳
440S1QEZEADgBhF/CgsFAcznrtQ=,,,种猪场,2023-04-26,2023-05-15,高繁感染,A阳（双缺）
bDoAAALPaMvM567U,,,种猪场,2023-04-14,2023-06-28,高繁感染,A阳（单缺）
bDoAACjIOsbM567U,,,种猪场,2023-12-08,2023-12-27,高繁感染,ABE型
e03d3f1b-010a-1000-e003-d4d5c0a802deCCE7AED4,,,种猪场,2024-05-11,2024-07-02,高繁感染,"A阳（单缺）,D阳"
e03d3f1b-010a-1000-e003-d4d5c0a802deCCE7AED4,,,种猪场,2024-08-05,2024-10-08,高繁感染,A阳（单缺）
bDoAADt50rLM567U,,,种猪场,2024-10-31,2024-12-30,高繁感染,ABE型
bDoAABvH6ZbM567U,,,种猪场,2022-02-12,2022-04-29,高繁感染,A阳（双缺）
Dj9DCQEdEADgAufnCgsFAcznrtQ=,,,种猪场,2022-04-24,2022-05-13,高繁感染,"B阳,A阳（单缺）+B阳,A阳（单缺）"
